COMP_ID,CPNAME,CPADDRESS1,CPADDRESS2,CPCITY,CPSTATE,CPZIP,CPPHONE,CPFAX,CPNOTES,TRACK_NO,IBM_NO,TAX_ID_TYP,TAX_ID,CPGROUP,SOB,DISABILITY,GLIABILITY,WORKCOMP,HIC,CONTRACTOR,CTL_NO,DM,CN,CC,FH,SR,SPECINSP,SI_NO,MOD_BY,MOD_WHEN
26,PETER AGLIARDO CONTRACTOR,1822 CEDAR AVENUE,,BRONX,NY,10453,7182947460,7187162243,520 North wanger maroneck ny 10543,26907,,C,132874078,01,,,,,,True,,,,,,,,,20,2013-11-07 12:53:08
27,"AGLIARDO, PETER - MAMARONECK",520 N WAGNER AVENUE,,MAMARONECK,NY,10543,9146986648,,SEND ALL TO THIS ADDRESS,26907,,C,132874078,01,,,,,,True,,,,,,,,,0,
28,"AGNOLI, EVELYN I",73-15 71ST STREET,,FLUSHING,NY,11385,7186288119,,,,,C,,01,,,,,,,,,,,,,,,0,
29,AIR MASTER WINDOW SYSTEMS INC.,615 37TH AVENUE,,LARCHMUNT,NY,10538,9147774500,9147770035,,,,C,113280770,01,,,,,,True,,,,,,,,,0,
30,"AIR SYSTEMS, INC.",135 NORTH 10TH STREET,,KENILWORTH,NJ,07033,9082761335,9082769573,,,,C,,01,,,,,,,,,,,,,,,0,
31,AIRITE VENTILATION,2281 LIGHT STREET,,BRONX,NY,10466,7183246669,7183246724,,,,C,,01,,,,,,,,,,,,,,,0,
32,AIRMASTER WINDOW,550 MAMARONECK AVE,,HARRISON,NY,10528,9147774509,,,13111,,C,,01,,,,,,True,,,,,,,,,0,
33,"AKAM ASSOCIATES, INC.","260 MADISON AVENUE, 12TH FLOOR",,NEW YORK,NY,10016,2129860001,2129860002,8 WEST 38TH STREET   7TH FLOOR  NY NY  10018           OLD,,,C,,01,,,,,,,,,,,,,,,0,
34,AL PERNA GENERAL CONST. CORP.,38-25 208TH STREET,,BAYSIDE,,11361,7182246234,,,,16285,C,,01,,,,,,True,,,,,,,,,0,
35,ALFRED KARMAN ARCHITECTS,63 GREENE STREET,,NEW YORK,NY,10012,2129411112,2129415699,,,,C,,01,,,,,,,,,,,,,,,0,
36,"ALL SAFE CONSULTANTS, INC",,,,,,2127978957,,,,,C,,01,,,,,,,,,,,,,,,0,
37,ALLCOM,,,,,,,6462232888,,,,C,,01,,,,,,,,,,,,,,,0,
38,ALLSTATE RESTORATION CORP.,3936 MULVEY AVENUE,,BRONX,NY,10466,7188815917,7188815929,,272,,C,133119141,01,,2021-09-30,2021-04-23,2021-06-29,,True,,,,,,,,,200,2020-10-01 09:32:02.999000
39,ALMAR PLUMBING & HEATING CO,116-14 ROCKAWAY BLVD.,,S OZONE PARK,NY,11420,7186412469,,,,,C,,01,,,,,,,,,,,,,,,0,
40,ALTER STEEL WINDOW CO.,1883 BATHGATE AVE.,,BRONX,NY,10457,7182940300,7182943013,,,17699,C,,01,,,,,,True,,,,,,,,,0,
41,AM/PM DESIGN & CONSULTING,305 NORTHERN BLVD SUITE 206,,GREAT NECK,NY,11021,5168297939,5168297946,,,,C,,01,,,,,,,,,,,,,,,0,
43,ANGELO'S FUEL OIL CO.,196-07 42ND ROAD,,FLUSHING,NY,11358,7183573315,,,,,C,,01,,,,,,,,,,,,,,,0,
44,"ANTHONY M. GIUDICE, P.E. CONS",588 BROADWAY-ROOM 812,,NEW YORK,NY,10012,2123342124,2129419367,,,,C,,01,,,,,,,,,,,,,,,0,
45,"APPLE INDUSTRIES, INC.",231 WEST 29TH STREET,,NEW YORK,NY,10001,2126430080,,,20564,,C,,01,,,,,,True,,,,,,,,,0,
46,APPLIED ENGINEERING,298 WALL STREET,,PRINCETON,NJ,08540,6099218999,6099211803,,,,C,,01,,,,,,,,,,,,,,,0,
47,"ARCH-CON ASSOCIATES OF NY, INC",141-07 20TH AVE.,,WHITESTONE,NY,11357,2124148777,2124142811,,,,C,,01,,,,,,True,,,,,,,,,0,
48,ARDSLEY OWNERS  CORP.,641 AVE OF THE AMERICAS,,NEW YORK,NY,10011,2127411300,,,,,C,,01,,,,,,,,,,,,,,,0,
49,ARNELL CONSTRUCTION CORPORATION,110 YORK STREET,,BROOKLYN,NY,11201,7188528500,7185964232,,000354,00097,C,134036293,01,2007-12-31,2008-12-31,2009-11-01,2009-11-01,,True,,,,,,,,,0,
50,"ARTHUR R. BREUER, P.E.",24 NORTH GREELEY AVENUE,,CHAPPAQUA,NY,10514,9142385433,9142384472,DOB NOW email: jbdowiat@arbpe.com,,,C,,01,,,,,,,,,,,,,,,120,2020-02-14 14:00:46
51,ASM MECHANICAL CORP.,255 RANDOLF STREET,,BROOKLYN,NY,11237,,,,,,C,,01,,,,,,,,,,,,,,,0,
52,ASV/BENNY CONSTRUCTION CORP.,220 MADISON AVENUE,,GARDEN CITY PARK,NY,11040,5164663563,5164662781,,11738,,C,113323454,01,,,,,,True,,,,,,,,,31,2013-04-30 16:28:30
53,ATELIER ROSSI,168 EIGHTH AVENUE,SUITE 2S,NEW YORK,NY,10011,9172702549,2129423987,,,,C,,01,,,,,,,,,,,,,,,92,2017-03-06 15:53:17.999000
54,"AVATAR CONSTRUCTION, INC.",550 WEST 30TH STREET,,NEW YORK,NY,10001,2126956455,,,8257,,C,223543857,01,,,,,,True,,,,,,,,,0,
55,AVCON DESIGN GROUP,545 8TH AVENUE 14TH FLOOR,,NEW YORK,NY,10018,2127601260,,,,,C,,01,,,,,,,,,,,,,,,0,
56,AXLE ROD MANAGEMENT,525 EAST 80TH STREET,,NEW YORK,NY,10021,2123688110,,,,,C,,01,,,,,,,,,,,,,,,0,
57,B.R. FRIES & ASSOCIATES LLC,34 WEST 32ND STREET,,NEW YORK,NY,10001,2125633300,2126296029,,026094,30283,C,132995360,01,,,,,,True,,,,,,,,,188,2022-02-28 15:08:24.999000
58,BASSET PROPERTIES L.P. C/O NEWMARK & COM,125 PARK AVENUE,,NEW YORK,NY,10017,2123722491,,,,,C,,01,,,,,,,,,,,,,,,0,
59,BEDROCK PLUMBING,89-01 101RST AVENUE,,OZONE PARK,NY,11416,7187387600,,,,,C,113602141,01,,,,,,,,,,,,,,,0,
60,BEE COOL HVAC,38 SOUTH CALUMUET AVENUE,,HASTINGS ON HUDSON,NY,10706,9144474048,,,9258,,C,133956595,01,,,,,,True,,,,,,,,,0,
61,BEE HIVE,200 EAST 16TH STREET,,,,,2129825837,,,,,C,,01,,,,,,,,,,,,,,,0,
62,BELLET CONSTRUCTION,425 EAST 61ST STREET,,NEW YORK,NY,10009,2129823000,2129820787,,5843,2615,C,133482675,01,,,,,,True,,,,,,,,,129,2018-10-09 16:07:15.998000
63,BERTIN ENGINEERING ASSOCIATES,66 GLEN AVENUE,,GLEN ROCK,NJ,07452,2016706688,2016709788,,,,C,,01,,,,,,,,,,,,,,,0,
64,"BETHEL WELDING, INC.",38-20 24TH STREET,,LONG ISLAND CITY,NY,11101,9179883684,,,20223,,C,139823571,01,,,,,,True,,,,,,,,,0,
65,BOSANOS CONSTRUCTION,157 21TH STREET BROOKLYN,,NEW YORK,,11232,7188320283,7188320940,,429,,C,,01,,,,,,True,,,,,,,,,0,
66,BOYS CLUB OF NEW YORK,287 EAST 10TH STREET,,NEW YORK,NY,10009,2126771107,,,,,C,,01,,,,,,,,,,,,,,,0,
67,"BRICKENS CONSTRUCTION, INC.",801 MCLEAN AVENUE,,YONKERS,NY,10704,9142372709,9142376438,"DOT Pin # eamon or 00001

DOT Authorized Contacts:
Don
Bert
Lionel
Amina",016461,10079,C,133460163,01,2008-12-31,2011-01-01,2011-04-01,2011-04-01,,True,,,,,,,,,31,2013-05-31 16:19:00.998000
68,BROOKDALE UNIVERSITY HOSPITAL,1 BROOKDALE PLAZA,,BROOKLYN,NY,12240,7182405000,,,,,C,,01,,,,,,,,,,,,,,,0,
69,BROWN HARRIS STEVENS,"770 LEXINGTON AVENUE, 5TH FLOOR",,NEW YORK,NY,10065,2125087337,,,,,C,,01,,,,,,,,,,,,,,,0,
70,BUSCH ASSOCIATES,88 WEST MAIN STREET,,BAYHORE,NY,11706,6319690900,6319697956,,,,C,,01,,,,,,,,,,,,,,,0,
71,C & L CONTRACTING CORP.,"1981 MARCUS AVE, SUITE E106",,LAKE SUCCESS,NY,11042,5163264460,5163264480,"DOT
GL-12/31/08
WC-01/01/09
LB-12/31/08",015089,10289,C,112790353,01,2012-12-31,2014-04-23,2012-12-31,2013-01-01,,True,,True,True,True,False,True,,,116,2016-01-13 17:13:37
72,CALAKAR CONST. SERVICE CORP.,129-09 26TH AVENUE,,COLLEGE PT,NY,11354,7184456800,,,,15506,C,,01,,,,,,,,,,,,,,,0,
73,CARETSKY & ASSOCIATES,49 WEST 37TH STREET,,NEW YORK,NY,,2125758230,,,,,C,,01,,,,,,,,,,,,,,,0,
74,"CARLILE, LANCE",335 MADISON AVENUE,,NEW YORK,NY,10017,2126920335,,,,,C,,01,,,,,,,,,,,,,,,0,
75,"CARRIER ENTERPRISE, LLC",,,,,,,2122793977,,,,C,,01,,,,,,,,,,,,,,,0,
76,COMPUTER COOL ICE AGE MECHANICAL CORP,58-75 57TH ROAD,,MASPETH,NY,11378,7184724400,7184724488,,3721,,C,133399005,01,,,,,,True,,,,,,,,,20,2019-07-09 16:03:46
77,"CENTRE INTERIORS WOODWORKING CO., INC.",100-01 103RD AVENUE,,OZONE PARK,NY,11417,7187219287,,,18165,,C,113052524,01,,,2008-05-02,2008-08-08,,True,,,,,,,,,0,
78,CHAMPION CONSTRUCTION CORP.,1927 RICHMOND TERRACE,,STATEN ISLAND,NY,10302,7188188202,7188188238,"DOT
WC-
GL-
LB-",614057,17048,C,134104541,01,2006-12-31,2016-02-29,2016-03-01,2016-06-29,,True,,False,True,False,True,False,,,153,2019-07-03 12:14:18
79,CHARLES  SCHMITT ARCHITECTS,65 BLEECKER STREET,,NEW YORK,NY,10012,2129791857,,,,,C,,01,,,,,,,,,,,,,,,0,
80,CHARLES RAMDASS CONSTRUCTION,97 JEDWOOD PLACE,,VALLEY STREAM,NY,11581,5167910157,,,,,C,,01,,,,,,,,,,,,,,,0,
81,CHETRIT ENGINEERING,56 WEST 54TH STREET,,NEW YORK,NY,10036,2127645637,,,,,C,,01,,,,,,,,,,,,,,,0,
82,CHRISTIAN ASSEMBLY OF THE BRONX,659 EAST 188TH STREET,,BRONX,NY,10458,9142374519,,,,,C,,01,,,,,,,,,,,,,,,0,
83,CHRISTOPHER FLACKE ARCHITECTS,200 EAST ANN STREET,,MILFORD,PA,18337,5702963021,,,,,C,,01,,,,,,,,,,,,,,,0,
84,"CIMA, GROUP",2 GANNETT DRIVE,,WHITE PLAINS,NY,10604,9146946666,,,,,C,,01,,,,,,,,,,,,,,,0,
85,"CIPRIETTI-TOLISANO ASSOC., INC.",32 BRONX STREET,,TUCKAHOE,NY,10707,9149614402,,,619,18758,C,112900971,01,,,,,,True,,,,,,,,,0,
86,CITY WIDE TESTING INC,59-25 GRAND AVENUE,,MASPETH,NY,11378,7183265900,,,,,C,,01,,,,,,,55,,,,,,True,000416,63,2015-09-15 16:32:00.999000
87,"CK ENGINEERING, P.C.","25 TUDOR CITY PLACE, SUITE 1705",,NEW YORK,NY,10017,2129863619,2126612706,,,,C,,01,,,,,,,,,,,,,True,000836,20,2014-02-18 09:53:07
88,CKR CONSTRUCTION CORP.,247 DRIGGS AVE.,,BROOKLYN,NY,11222,7183849191,7183845832,,627,1736,C,112645382,01,,,,,,True,,,,,,,,,0,
89,"CLARION REALTY SERVICES, INC.",685 THIRD AVENUE,,NEW YORK,NY,10017,2128785220,2128785225,,,,C,,01,,,,,,,,,,,,,,,0,
90,"CLEAN VENTURE, INC.",201 SOUTH FIRST STREET,,ELIZABETH,NJ,07026,9083540210,9083549731,,11657,04398,C,222179233,01,,,,,,True,,,,,,,,,0,
91,CLODAH DESIGN INTERNATIONAL,670 BROADWAY,,NEW YORK,NY,10012,2127805300,2127805755,,,,C,,01,,,,,,,,,,,,,,,0,
92,COLUMBIA UNIVERSITY,410 WEST 118TH STREET MC3407,B-230 EAST CAMPUS,NEW YORK,NY,10027,2128548072,2128543780,,,,C,135598093,01,,,,,,,,,,,,,,,126,2021-06-21 14:46:47.998000
93,"COMPLETE CONSTRUCTION SERVICES, INC.",37-61 39TH STREET,,LONG ISLAND CITY,NY,11101,7188214077,7188214076,,4450,,C,111541284,01,,,,,,True,,,,,,,,,0,
94,CONCEPTS IN CONSTRUCTION,3211 BROWER AVENUE,,,,11572,5166786906,,,12130,,C,114334757,01,,,,,,True,,,,,,,,,0,
95,CONSOLIDATED EDISON CO OF NEW YORK,"4 IRVING PLACE, 21ST FLOOR",,NEW YORK,NY,10003,2123384949,,,,,C,,01,,,,,,,,,,,,,,,120,2018-05-31 14:48:46.999000
96,"CONTROLLED INSPECTION SERVICES, INC.",419 OAKDENE AVENUE,,CLIFFSIDE PARK,NJ,07010,2012142128,,,,,C,,01,,,,,,,,,,,,,,,0,
97,"COOPER SQUARE REALTY, INC.",156 WEST END AVENUE,,NEW YORK,NY,10023,2124965200,,,,,C,,01,,,,,,,,,,,,,,,0,
98,COOPERATIVE OWNERS INC.,66-36 YELLOWSTONE BLVD.,,FOREST HILLS,NY,11375,7188962299,,,,,C,,01,,,,,,,,,,,,,,,0,
99,COPANO & PARKER ENGINEERING,20 HIGH STREET,,HUNTINGTON,NY,11743,5164210439,,,,,C,,01,,,,,,,,,,,,,,,0,
100,CORD MEYER DEVELOPMENT LLC,111-15 QUEENS BOULEVARD,2ND FLOOR,FOREST HILLS,NY,11375,7182682500,,,,,C,,01,,,,,,,,,,,,,,,120,2016-06-13 10:15:10.998000
101,COSENTINI ASSOCIATES,2 PENNSYLVANIA PLAZA,THIRD FLOOR,NEW YORK,NY,10121,2126153600,2126153700,"Please be advised that ALL DOB forms requiring signature and seal by Cosentini Associates MUST be sent electronically to nycdob@cosentini.com for processing.  We do not accept hard copies of forms.1)	DOUGLAS C. MASS, P.E. - Please use his full name on all forms where he is to sign.  His middle initial appears on his license and seal and must appear on all documents.
2)	Kindly refrain from highlighting or using ""Sign Here"" post-it arrows.  We have been dealing with DOB forms for many, many years and are well aware of where to sign and seal.  The post-it stickers are a hindrance as every document that arrives for signature and seal is checked thoroughly for accuracy of content and is affixed with our Cosentini Job number.  After which, photocopies are made for our files prior to returning the forms to you for filing with the DOB.
",,,C,,01,,,,,,,,,,,,,,,54,2014-05-15 13:40:24.999000
102,COUNTRY STYLE RESTAURANT,88-45 213TH STREET,,QUEENS VILLAGE,NY,11427,9146664149,,,,,C,,01,,,,,,,,,,,,,,,0,
103,COURT MEYER DVLPMENT CO,111-15 QUEENS BOULEVARD,,FOREST HILLS,NY,11375,7182682500,,,,,C,,01,,,,,,,,,,,,,,,0,
104,CRYSTAL CLEAR GENERAL CONST.,60-89 7TH AVE.,,RIDGEWOOD,NY,11385,7183664167,7183664167,,20055,18809,C,113468981,01,,,,,,True,,,,,,,,,0,
105,D & P HOME IMPROVEMENT CORP,2104 CROSS BRONX EXPRESSWAY,,BRONX,NY,10472,,,,17942,,C,,01,,,,,,True,,,,,,,,,0,
106,"D-CON , INC.",314 FIFTH AVENUE,,NEW YORK,NY,10001,2129672323,,,19272,,C,133969581,01,,,,,,True,,,,,,,,,0,
107,DAVID A. COHEN,"166 BOWERY, 2ND FLOOR REAR",,NEW YORK,NY,10012,2125376727,2125376156,,,,C,,01,,,,,,,,,,,,,,,0,
108,"DAMIANO, BARILE ENGINEERS",77 TERRYTOWN ROAD,,WHITE PLAINS,NY,10607,9143286060,9143289304,,,,C,,01,,,,,,,,,,,,,,,0,
110,DANIEL ROMUALDEZ ARCHITECTS,119 WEST 23RD STREET,,NEW YORK,NY,10011,2129898429,2129898986,,,,C,,01,,,,,,,,,,,,,,,0,
111,DD DOUSTAN/IRVING B. PRUS,118-18 UNION TURNPIKE,,KEW GARDENS,NY,11415,7185447800,,,,,C,,01,,,,,,,,,,,,,,,0,
112,DEERPATH CONSTRUCTION CORP.,445 PARK AVENUE,,NEW YORK,NY,10022,8009922310,,,002548,,C,133133730,01,,,,,,False,,,,,,,,,153,2019-06-12 11:43:38
113,NYC DEPT. OF DESIGN & CONSTRUCTION,30-30 THOMSON AVENUE,,LONG ISLAND CITY,NY,11101,7183911043,,"Alternative # 
(718) 391-1141
(718) 391-1233
(718) 391-1000
(718) 391-1043",,,C,,01,,,,,,,,,,,,,,,0,
114,DESIGN 2147,52 DIAMOND STREET,,BROOKLYN NY,,11222,7183839340,,,,,C,,01,,,,,,,,,,,,,,,0,
115,DINACO CONTRACTING CORP.*,2351 HOLLAND AVENUE,,BRONX,NY,10467,7186529072,7186548674,,28475,10838,C,133310992,01,2005-12-31,,2005-05-20,2005-03-17,,True,,,,,,,,,0,
116,DITMAS MANAGEMENT,505 CEDARHURST STREET,,CEDARHURST,NY,11516,5163747000,,,,,C,,01,,,,,,,,,,,,,,,0,
117,DIVERSITY PLUMBING & HEATING CORP.,59-20 PUTNAM AVENUE,,RIDGEWOOD,NY,11385,7184182766,7184182663,,,,C,,01,,,,,,,,,,,,,,,0,
118,"DJM RESTORATION, INC*",101 BAY AVENUE,,HICKSVILLE,NY,11801,7187865200,,                        ,19904,,C,113498082,01,,,,,,True,,,,,,,,,0,
119,DOLORES JOHN ARCHITECT P.C.,185 STATE PARK ROAD,,BLAIRSTOWN,NJ,07825,9084595820,,,,,C,,01,,,,,,,,,,,,,,,0,
120,"DOMINICK RANIERI ARCHITECTS, PC",10 NEW KARNER ROAD,,GUILDERLAND,NY,12084,5188695650,,,,,C,,01,,,,,,,,,,,,,,,0,
121,"DONNELLY, EDWARD",309 EAST 45TH STREET,,NEW YORK,NY,10017,2129841736,,,,,C,,01,,,,,,,,,,,,,,,0,
122,DPK & A ARCHITECTS,421 CHESTNUT STREET,,PHILADELPHIA,PA,19106,2156272700,,,,,C,,01,,,,,,,,,,,,,,,0,
123,DRILL CONSTRUCTION COMP INC,80 MAIN STREET,,WEST ORANGE,NY,07052,9737369350,9737363776,,3368,,C,222092880,01,,,,,,True,,,,,,,,,0,
124,DURR. MECH. CONST. INC.,,,,,,2122336927,,,,,C,,01,,,,,,,,,,,,,,,0,
125,EAGAN & ASSOCIATES ARCHITECT,1564 EDGEHILL ROAD,,ABINGTON,PA,19001,2156581555,,,,,C,,01,,,,,,,,,,,,,,,0,
126,EAGLE AIR LTD.,41-41 24TH STREET,,LONG ISLAND CITY,NY,11101,7187295840,7187295838,,029371,,C,113357273,01,,2010-01-22,2010-01-23,2010-01-23,,True,,,,,,,,,0,
127,TLS INTERIOR INC. T/A EAST FOREST CONTRA,442 EAST 20TH STREET,APT 10E,NEW YORK,NY,10009,2122172699,,,15591,,C,134191148,01,,,,,,True,,,,,,,,,0,
128,ECONOMIDES & GOLDBERG ENGINEERS,"41 UNION SQUARE WEST, SUITE 1104",,NEW YORK,NY,10003,2126836890,2127250841,,,,C,,01,,,,,,,,,,,,,,,0,
130,EIGHTH AVENUE LOFTS ASSOCIATES,589 EIGHTH AVENUE,,NEW YORK,NY,10017,2126918678,,,,,C,,01,,,,,,,,,,,,,,,0,
131,"THE EIPEL ENGINEERING GROUP, D.P.C.",241 WEST 30TH STREET,5TH FLOOR,NEW YORK,NY,10001,2126955120,,,,,C,,01,,,,,,False,,,,,,,True,002714,20,2019-08-06 16:27:28
132,ELITE FLOOR SERVICES,12 SARATOGA AVE. YONKERS,,NEW YORK,,10705,2122281050,,,18423,,C,,01,,,,,,True,,,,,,,,,0,
133,EMPIRE STATE LOFT LTD.,11 WEST 30TH STREET,,NEW YORK,,10001,2125633817,,,,,C,,01,,,,,,,,,,,,,,,0,
134,EMTEC CONSULTING ENGINEERS, 3555 VETERANS MEMORAL HWY SUITE  M,,RONKONKOMA,NY,11779,6319813990,6319813971,,,,C,,01,,,,,,,,,,,,,True,000152,129,2018-12-11 10:32:16.999000
135,EPIPHANY R. CHURCH,239 EAST 21ST STREET,,NEW YORK,NY,10010,2124751966,,,,,C,,01,,,,,,,,,,,,,,,0,
136,"ESTEVEZ, SOPHIA",309 EAST 45TH STREET,,NEW YORK,NY,10017,2126974422,,,,,C,,01,,,,,,,,,,,,,,,0,
137,ETNA CONSULTING,450 SEVENTH AVE,,NEW YORK,NY,10123,2129677773,,,,,C,,01,,,2007-05-14,2008-02-09,,True,,,,,,,,,0,
139,"F.W. SIMS, INC.",101 OTIS STREET,,WEST BABYLON,NY,11704,6314911441,6314915476,"as per DOB, this tax ID was wrong in their system: 11-4563422. I called the company and they gave me this one: 11-2395197",000907,17778,C,112395197,01,,2012-04-01,2012-03-22,2012-07-01,,True,,,,,,,,,63,2013-04-17 16:44:42.999000
140,FACADE MAINTENANCE DESIGN,"362 5TH  AVENUE, 11TH FLOOR",,NEW YORK,NY,10001,2125609292,2125609746,,,,C,,01,,,,,,,,,,,,,,,0,
141,FAMILY CARE,120 WEST JOHN STREET,,HICKSVILLE,NY,11801,5169327799,5169321415,,,,C,,01,,,,,,,,,,,,,,,0,
143,"FEIFER, JOANNE",7-22 160TH STREET,,NEW YORK,NY,,7187467501,,,,,C,,01,,,,,,,,,,,,,,,0,
144,"FELD, KAMINETZKY & COHEN","500 NORTH BROADWAY, SUITE 164",,JERICHO,NY,11753,5164330110,5164330123,,,,C,,01,,,,,,,,,,,,,True,000367,56,2015-04-29 14:52:21.999000
145,FIELDSTONDALE MUTAL HOUSING-5500 FIELDST,209 GARTH ROAD,,SCARSDALE,NY,10583,9147253600,,,,,C,,01,,,,,,,,,,,,,,,0,
146,"FIERING, AL & WENDY",2766 PUESTA DEL SOL,,SANTA BARBARA,CA,93105,8055698784,8056822826,,,,C,,01,,,,,,,,,,,,,,,0,
147,FIRST AVENUE VILLAGE CORP.,1057 FIRST AVENUE,,NEW YORK,NY,10022,2127536666,,,5631,,C,,01,,,,,,,,,,,,,,,0,
148,FORMACTIV,110 WEST 26TH STREET,,NEW YORK,NY,10001,2124141704,,,,,C,,01,,,,,,,,,,,,,,,0,
149,FORSYTHE PLUMBING & HEATING,14-24 118TH STREET,,COLLEGE PT,NY,11356,7189616464,7189616499,,,,C,130727420,01,,,,,,,,,,,,,,,31,2014-03-06 15:26:24
150,KLE HOLDING CORP.,406 CASINO AVENUE,,CRANFORD,NJ,07016,9084720141,9089311425,,,18643,C,112621932,01,,,,,,,,,,,,,,,0,
151,FRANK PETRUSO ARCHITECT,305 NORTHERN BLVD.,SUITE 206,GREAT NECK,NY,11021,5164989080,5164989079,,,,C,,01,,,,,,,,,,,,,,,0,
152,"FRED SMITH PLUMBING & HEATING CO., INC.",1674 FIRST AVENUE,,NEW YORK,NY,10128,2127441300,2122493420,,17218,,C,,01,,,,,,,,,,,,,,,0,
153,FRIEDMAN STRUCTURAL ENGINEERING,641 AVENUE OF THE AMERICAS,,NEW YORK,NY,10011,2127411300,,,,,C,,01,,,,,,,,,,,,,,,0,
154,FUTURA CONSULTING CO.,20 MAC AFEE ROAD,,SOMERSET,NJ,08873,2122495205,,,,,C,,01,,,,,,,,,,,,,,,0,
155,"MANGO & IACOVIELLO, LLP.",225 WEST 34TH STREET  SUITE 1919,,NEW YORK,NY,10122,2126955454,2126950797,,,,C,,01,,,,,,,,,,,,,,,2,2013-01-02 14:19:47
156,GARY SAVITZKY ARCHITECTS,1 SHERBROOKE ROAD,,SCARSDALE,NY,10583,9147233316,9147235914,,,,C,,01,,,,,,,,,,,,,True,,56,2012-11-12 13:56:04
